number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bynode,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,state
40,0.7348052942507879,2025-12-26 18:56:22.095008,2025-12-26 18:56:29.610357,0 days 00:00:07.515349,0.6243945417299218,0.8095433336030332,0.7389503658542221,0.6579363314438397,0.0172857316658077,4,4,4,525,0.4581242278450602,1.9866558894015136,1.3338918744663968,0.6327068874940888,COMPLETE
41,0.7380500668280574,2025-12-26 18:56:29.614114,2025-12-26 18:56:37.030357,0 days 00:00:07.416243,0.7041487787879849,0.7756646453141499,0.7506043545704365,0.6897183286612001,0.012894783706185506,4,3,2,515,0.5681368930640658,1.184289483142467,1.4961739248985093,0.7050184025502877,COMPLETE
42,0.7375145694384752,2025-12-26 18:56:37.032348,2025-12-26 18:56:44.230654,0 days 00:00:07.198306,0.6842522659359144,0.7307059088882167,0.7649495407480182,0.6473055504847606,0.02279551341610456,4,4,2,458,0.4146130685597971,1.785497653207532,1.4733505154523991,0.6678417025609847,COMPLETE
43,0.7337422693055959,2025-12-26 18:56:44.233658,2025-12-26 18:56:51.480462,0 days 00:00:07.246804,0.7113344355849333,0.6664698632353606,0.7412277726758828,0.7816341430123677,0.1420324108892526,5,4,2,502,1.273757477898712,2.283785365664838,1.4244142937869178,0.7505131782243532,COMPLETE
44,0.7383532288979324,2025-12-26 18:56:51.483459,2025-12-26 18:56:59.820641,0 days 00:00:08.337182,0.6881971404823763,0.7979666164704977,0.7118280751218111,0.5688872313967064,0.01820471677228355,3,3,3,547,0.30788846055819974,1.9559407124506725,1.4979028532091125,0.7038628305488384,COMPLETE
45,0.7348309464127334,2025-12-26 18:56:59.824638,2025-12-26 18:57:07.131775,0 days 00:00:07.307137,0.6268060763353085,0.8050460387872985,0.6679676029244018,0.7059446584177973,0.012412663929782011,3,3,3,536,0.39067339970258286,1.9716309886090118,1.3823913105709236,0.7022891245445799,COMPLETE
46,0.7373756317855932,2025-12-26 18:57:07.137242,2025-12-26 18:57:14.781548,0 days 00:00:07.644306,0.6911414880527124,0.7582737387497743,0.703011351687892,0.7419436342390862,0.018414415453030224,3,3,5,599,0.31000237900226035,2.060462367262604,1.446262823534429,0.6796732220313246,COMPLETE
47,0.7350931540118142,2025-12-26 18:57:14.785565,2025-12-26 18:57:21.708689,0 days 00:00:06.923124,0.715177433722435,0.7899193921402339,0.7337979907148309,0.7994429924701232,0.015516638292344013,4,3,4,478,1.4057645716128546,1.4278117736376152,1.3617111444852825,0.7107998051607326,COMPLETE
48,0.7368255682400441,2025-12-26 18:57:21.710693,2025-12-26 18:57:30.335532,0 days 00:00:08.624839,0.6618459269335811,0.7294567300651622,0.7241032832424191,0.631487227352356,0.018031007137252492,3,4,3,550,0.30127116342286275,1.8649642281860044,1.4082316818420333,0.6870316411315941,COMPLETE
49,0.7331290837673302,2025-12-26 18:57:30.340064,2025-12-26 18:57:38.282028,0 days 00:00:07.941964,0.6830816754463654,0.687542135513882,0.6790360546889003,0.6770388777397609,0.028372712467416687,4,3,2,551,0.505897522763255,2.1801617755114266,1.3000045809095264,0.6682294084516835,COMPLETE
50,0.7385457502592504,2025-12-26 18:57:38.284463,2025-12-26 18:57:47.178385,0 days 00:00:08.893922,0.6558243889165418,0.7843223792047224,0.7645057543219994,0.502351405347838,0.011716781200032783,4,4,3,508,0.5852503772863412,2.3942158587127236,1.4807102738166118,0.6411081362411718,COMPLETE
51,0.7379526036248542,2025-12-26 18:57:47.182323,2025-12-26 18:57:55.230440,0 days 00:00:08.048117,0.6595504068104237,0.7809095380817304,0.7656552865554743,0.5065574660629434,0.011688031269197168,4,4,3,503,0.5732162399577677,2.3643701086351743,1.4649214507496413,0.6390095056840441,COMPLETE
52,0.7372180193106573,2025-12-26 18:57:55.235451,2025-12-26 18:59:09.281134,0 days 00:01:14.045683,0.6264475641315282,0.796293693646234,0.7082790050758303,0.6122640542087096,0.013310084409506219,4,4,2,527,1.0989287471102727,2.507873978680558,1.4363725585785347,0.6574566786968966,COMPLETE
53,0.7376089363579423,2025-12-26 18:59:09.749473,2025-12-26 18:59:56.659937,0 days 00:00:46.910464,0.6353592753476948,0.8187180854511181,0.743176538352799,0.5609244995245514,0.020463965023490512,3,3,5,511,0.7433041547183296,0.8903661300065133,1.4785616562063582,0.6280858356924978,COMPLETE
54,0.7386850600253269,2025-12-26 18:59:56.665947,2025-12-26 19:00:19.147431,0 days 00:00:22.481484,0.7001965849525151,0.7741502518359271,0.8261215135284773,0.4947490136454413,0.014426787746196268,4,4,3,573,0.6007378079779297,2.8514487629313554,1.499738242238098,0.6017560199481005,COMPLETE
55,0.7385366508891583,2025-12-26 19:00:19.154500,2025-12-26 19:00:43.441628,0 days 00:00:24.287128,0.6988408369782394,0.7755336015905772,0.8190434381480967,0.7217186934721802,0.014857946636843816,4,5,2,582,0.3915041376142319,2.9893169180551293,1.4996214931289418,0.6450765059125472,COMPLETE
56,0.7368150365376973,2025-12-26 19:00:43.446543,2025-12-26 19:01:08.807786,0 days 00:00:25.361243,0.6413372309356794,0.7764806506756173,0.8222796461261169,0.4904281402557964,0.01487686031265762,3,5,4,584,0.48242635216181545,2.985244766636666,1.4025268004193205,0.6010610931523075,COMPLETE
57,0.738397730877674,2025-12-26 19:01:08.812796,2025-12-26 19:01:38.922348,0 days 00:00:30.109552,0.6109086631246534,0.755911155732778,0.8516732291360518,0.41368968946798235,0.011239084921512387,4,5,10,561,0.39801567186622244,2.716612886793641,1.4980925285704234,0.6454839900182411,COMPLETE
58,0.7385779520525794,2025-12-26 19:01:38.927344,2025-12-26 19:04:13.666123,0 days 00:02:34.738779,0.7009171124759085,0.7680281642542337,0.8467007330708407,0.40612668167238314,0.011180417615573658,4,5,10,599,0.38967685313695594,2.803279753290391,1.499650220064888,0.6035483192901041,COMPLETE
